,funding_total_usd,country_code,funding_rounds,time_between_first_last_funding,days_in_business,status,Industry_Group_Biotechnology,Industry_Group_Commerce and Shopping,Industry_Group_Community and Lifestyle,Industry_Group_Health Care,Industry_Group_Information Technology,Industry_Group_Internet Services,Industry_Group_Other,Industry_Group_Software
137,5740000,USA,2,414,4015,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,1465000,USA,1,0,2189,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,28000,USA,1,0,1034,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
140,503000,USA,2,638,1824,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,4500000,Other,2,371,1003,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,1200000,USA,2,365,1824,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,240000,Other,2,134,1093,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
144,35000000,USA,3,680,2554,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,909940,USA,3,916,2189,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
146,150000,USA,1,0,2554,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
147,400000,USA,1,0,2518,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
148,1250000,USA,1,0,6817,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
149,2670000,Other,2,639,1734,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
150,530000,USA,1,0,495,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
151,732064,Other,1,0,5476,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,200000,USA,1,0,633,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,7436500,USA,2,1182,2406,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,2065000,Other,2,974,3499,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,475000,Other,1,0,2766,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
156,750000,USA,1,0,2250,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
157,1700000,Other,2,547,2297,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,20000000,USA,1,0,4746,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,746185,Other,2,337,3834,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
